Bee_number	Start	Stop	Death	Treatment	Cup	Hive
1	1	10	0	Control	A	Hive1
2	1	10	0	Control	A	Hive1
3	1	10	0	Control	A	Hive1
4	1	10	0	Control	A	Hive1
5	1	10	0	Control	A	Hive1
6	1	10	0	Control	A	Hive1
7	1	10	0	Control	A	Hive1
8	1	10	0	Control	A	Hive1
9	1	10	0	Control	A	Hive1
10	1	10	0	Control	A	Hive1
11	1	10	0	Control	A	Hive1
12	1	10	0	Control	A	Hive1
13	1	10	0	Control	A	Hive1
14	1	10	0	Control	A	Hive1
15	1	10	0	Control	A	Hive1
16	1	10	0	Control	A	Hive1
17	1	10	0	Control	A	Hive1
18	1	10	0	Control	A	Hive1
19	1	10	0	Control	A	Hive1
20	1	10	0	Control	A	Hive1
21	1	10	0	Control	A	Hive1
22	1	10	0	Control	A	Hive1
23	1	10	0	Control	A	Hive1
24	1	10	0	Control	A	Hive1
25	1	10	0	Control	A	Hive1
26	1	10	0	Control	A	Hive1
27	1	10	0	Control	A	Hive1
28	1	10	0	Control	A	Hive1
29	1	10	0	Control	A	Hive1
30	1	10	0	Control	A	Hive1
31	1	10	0	Control	A	Hive1
32	1	10	0	Control	A	Hive1
33	1	10	0	Control	A	Hive1
34	1	10	0	Control	A	Hive1
35	1	10	0	Control	A	Hive1
36	1	10	0	Control	A	Hive1
37	1	10	0	Control	A	Hive1
38	1	10	0	Control	A	Hive1
39	1	10	0	Control	A	Hive1
40	1	10	0	Control	A	Hive1
1	1	10	0	Control	B	Hive1
2	1	10	0	Control	B	Hive1
3	1	10	0	Control	B	Hive1
4	1	10	0	Control	B	Hive1
5	1	10	0	Control	B	Hive1
6	1	10	0	Control	B	Hive1
7	1	10	0	Control	B	Hive1
8	1	10	0	Control	B	Hive1
9	1	10	0	Control	B	Hive1
10	1	10	0	Control	B	Hive1
11	1	10	0	Control	B	Hive1
12	1	10	0	Control	B	Hive1
13	1	10	0	Control	B	Hive1
14	1	10	0	Control	B	Hive1
15	1	10	0	Control	B	Hive1
16	1	10	0	Control	B	Hive1
17	1	10	0	Control	B	Hive1
18	1	10	0	Control	B	Hive1
19	1	10	0	Control	B	Hive1
20	1	10	0	Control	B	Hive1
21	1	10	0	Control	B	Hive1
22	1	10	0	Control	B	Hive1
23	1	10	0	Control	B	Hive1
24	1	10	0	Control	B	Hive1
25	1	10	0	Control	B	Hive1
26	1	10	0	Control	B	Hive1
27	1	10	0	Control	B	Hive1
28	1	10	0	Control	B	Hive1
29	1	10	0	Control	B	Hive1
30	1	10	0	Control	B	Hive1
31	1	10	0	Control	B	Hive1
32	1	10	0	Control	B	Hive1
33	1	10	0	Control	B	Hive1
34	1	10	0	Control	B	Hive1
35	1	10	0	Control	B	Hive1
36	1	10	0	Control	B	Hive1
37	1	10	0	Control	B	Hive1
38	1	10	0	Control	B	Hive1
39	1	10	0	Control	B	Hive1
40	1	10	0	Control	B	Hive1
1	1	10	0	Control	C	Hive1
2	1	10	0	Control	C	Hive1
3	1	10	0	Control	C	Hive1
4	1	10	0	Control	C	Hive1
5	1	10	0	Control	C	Hive1
6	1	10	0	Control	C	Hive1
7	1	10	0	Control	C	Hive1
8	1	10	0	Control	C	Hive1
9	1	10	0	Control	C	Hive1
10	1	10	0	Control	C	Hive1
11	1	10	0	Control	C	Hive1
12	1	10	0	Control	C	Hive1
13	1	10	0	Control	C	Hive1
14	1	10	0	Control	C	Hive1
15	1	10	0	Control	C	Hive1
16	1	10	0	Control	C	Hive1
17	1	10	0	Control	C	Hive1
18	1	10	0	Control	C	Hive1
19	1	10	0	Control	C	Hive1
20	1	10	0	Control	C	Hive1
21	1	10	0	Control	C	Hive1
22	1	10	0	Control	C	Hive1
23	1	10	0	Control	C	Hive1
24	1	10	0	Control	C	Hive1
25	1	10	0	Control	C	Hive1
26	1	10	0	Control	C	Hive1
27	1	10	0	Control	C	Hive1
28	1	10	0	Control	C	Hive1
29	1	10	0	Control	C	Hive1
30	1	10	0	Control	C	Hive1
31	1	10	0	Control	C	Hive1
32	1	10	0	Control	C	Hive1
33	1	10	0	Control	C	Hive1
34	1	10	0	Control	C	Hive1
35	1	10	0	Control	C	Hive1
36	1	10	0	Control	C	Hive1
37	1	10	0	Control	C	Hive1
38	1	10	0	Control	C	Hive1
1	1	4	1	Control	A	Hive2
2	1	10	0	Control	A	Hive2
3	1	10	0	Control	A	Hive2
4	1	10	0	Control	A	Hive2
5	1	10	0	Control	A	Hive2
6	1	10	0	Control	A	Hive2
7	1	10	0	Control	A	Hive2
8	1	10	0	Control	A	Hive2
9	1	10	0	Control	A	Hive2
10	1	10	0	Control	A	Hive2
11	1	10	0	Control	A	Hive2
12	1	10	0	Control	A	Hive2
13	1	10	0	Control	A	Hive2
14	1	10	0	Control	A	Hive2
15	1	10	0	Control	A	Hive2
16	1	10	0	Control	A	Hive2
17	1	10	0	Control	A	Hive2
18	1	10	0	Control	A	Hive2
19	1	10	0	Control	A	Hive2
20	1	10	0	Control	A	Hive2
21	1	10	0	Control	A	Hive2
22	1	10	0	Control	A	Hive2
23	1	10	0	Control	A	Hive2
24	1	10	0	Control	A	Hive2
25	1	10	0	Control	A	Hive2
26	1	10	0	Control	A	Hive2
27	1	10	0	Control	A	Hive2
28	1	10	0	Control	A	Hive2
29	1	10	0	Control	A	Hive2
30	1	10	0	Control	A	Hive2
31	1	10	0	Control	A	Hive2
32	1	10	0	Control	A	Hive2
33	1	10	0	Control	A	Hive2
34	1	10	0	Control	A	Hive2
35	1	10	0	Control	A	Hive2
36	1	10	0	Control	A	Hive2
37	1	10	0	Control	A	Hive2
38	1	10	0	Control	A	Hive2
39	1	10	0	Control	A	Hive2
40	1	10	0	Control	A	Hive2
1	1	10	0	Control	B	Hive2
2	1	10	0	Control	B	Hive2
3	1	10	0	Control	B	Hive2
4	1	10	0	Control	B	Hive2
5	1	10	0	Control	B	Hive2
6	1	10	0	Control	B	Hive2
7	1	10	0	Control	B	Hive2
8	1	10	0	Control	B	Hive2
9	1	10	0	Control	B	Hive2
10	1	10	0	Control	B	Hive2
11	1	10	0	Control	B	Hive2
12	1	10	0	Control	B	Hive2
13	1	10	0	Control	B	Hive2
14	1	10	0	Control	B	Hive2
15	1	10	0	Control	B	Hive2
16	1	10	0	Control	B	Hive2
17	1	10	0	Control	B	Hive2
18	1	10	0	Control	B	Hive2
19	1	10	0	Control	B	Hive2
20	1	10	0	Control	B	Hive2
21	1	10	0	Control	B	Hive2
22	1	10	0	Control	B	Hive2
23	1	10	0	Control	B	Hive2
24	1	10	0	Control	B	Hive2
25	1	10	0	Control	B	Hive2
26	1	10	0	Control	B	Hive2
27	1	10	0	Control	B	Hive2
28	1	10	0	Control	B	Hive2
29	1	10	0	Control	B	Hive2
30	1	10	0	Control	B	Hive2
31	1	10	0	Control	B	Hive2
32	1	10	0	Control	B	Hive2
33	1	10	0	Control	B	Hive2
34	1	10	0	Control	B	Hive2
35	1	10	0	Control	B	Hive2
36	1	10	0	Control	B	Hive2
37	1	10	0	Control	B	Hive2
38	1	10	0	Control	B	Hive2
39	1	10	0	Control	B	Hive2
1	1	1	1	Control	C	Hive2
2	1	1	1	Control	C	Hive2
3	1	4	1	Control	C	Hive2
4	1	10	0	Control	C	Hive2
5	1	10	0	Control	C	Hive2
6	1	10	0	Control	C	Hive2
7	1	10	0	Control	C	Hive2
8	1	10	0	Control	C	Hive2
9	1	10	0	Control	C	Hive2
10	1	10	0	Control	C	Hive2
11	1	10	0	Control	C	Hive2
12	1	10	0	Control	C	Hive2
13	1	10	0	Control	C	Hive2
14	1	10	0	Control	C	Hive2
15	1	10	0	Control	C	Hive2
16	1	10	0	Control	C	Hive2
17	1	10	0	Control	C	Hive2
18	1	10	0	Control	C	Hive2
19	1	10	0	Control	C	Hive2
20	1	10	0	Control	C	Hive2
21	1	10	0	Control	C	Hive2
22	1	10	0	Control	C	Hive2
23	1	10	0	Control	C	Hive2
24	1	10	0	Control	C	Hive2
25	1	10	0	Control	C	Hive2
26	1	10	0	Control	C	Hive2
27	1	10	0	Control	C	Hive2
28	1	10	0	Control	C	Hive2
29	1	10	0	Control	C	Hive2
30	1	10	0	Control	C	Hive2
31	1	10	0	Control	C	Hive2
32	1	10	0	Control	C	Hive2
33	1	10	0	Control	C	Hive2
34	1	10	0	Control	C	Hive2
35	1	10	0	Control	C	Hive2
36	1	10	0	Control	C	Hive2
37	1	10	0	Control	C	Hive2
1	1	10	0	Control	A	Hive3
2	1	10	0	Control	A	Hive3
3	1	10	0	Control	A	Hive3
4	1	10	0	Control	A	Hive3
5	1	10	0	Control	A	Hive3
6	1	10	0	Control	A	Hive3
7	1	10	0	Control	A	Hive3
8	1	10	0	Control	A	Hive3
9	1	10	0	Control	A	Hive3
10	1	10	0	Control	A	Hive3
11	1	10	0	Control	A	Hive3
12	1	10	0	Control	A	Hive3
13	1	10	0	Control	A	Hive3
14	1	10	0	Control	A	Hive3
15	1	10	0	Control	A	Hive3
16	1	10	0	Control	A	Hive3
17	1	10	0	Control	A	Hive3
18	1	10	0	Control	A	Hive3
19	1	10	0	Control	A	Hive3
20	1	10	0	Control	A	Hive3
21	1	10	0	Control	A	Hive3
22	1	10	0	Control	A	Hive3
23	1	10	0	Control	A	Hive3
24	1	10	0	Control	A	Hive3
25	1	10	0	Control	A	Hive3
26	1	10	0	Control	A	Hive3
27	1	10	0	Control	A	Hive3
28	1	10	0	Control	A	Hive3
29	1	10	0	Control	A	Hive3
30	1	10	0	Control	A	Hive3
31	1	10	0	Control	A	Hive3
32	1	10	0	Control	A	Hive3
33	1	10	0	Control	A	Hive3
34	1	10	0	Control	A	Hive3
35	1	10	0	Control	A	Hive3
36	1	10	0	Control	A	Hive3
37	1	10	0	Control	A	Hive3
38	1	10	0	Control	A	Hive3
39	1	10	0	Control	A	Hive3
40	1	10	0	Control	A	Hive3
1	1	10	0	Control	B	Hive3
2	1	10	0	Control	B	Hive3
3	1	10	0	Control	B	Hive3
4	1	10	0	Control	B	Hive3
5	1	10	0	Control	B	Hive3
6	1	10	0	Control	B	Hive3
7	1	10	0	Control	B	Hive3
8	1	10	0	Control	B	Hive3
9	1	10	0	Control	B	Hive3
10	1	10	0	Control	B	Hive3
11	1	10	0	Control	B	Hive3
12	1	10	0	Control	B	Hive3
13	1	10	0	Control	B	Hive3
14	1	10	0	Control	B	Hive3
15	1	10	0	Control	B	Hive3
16	1	10	0	Control	B	Hive3
17	1	10	0	Control	B	Hive3
18	1	10	0	Control	B	Hive3
19	1	10	0	Control	B	Hive3
20	1	10	0	Control	B	Hive3
21	1	10	0	Control	B	Hive3
22	1	10	0	Control	B	Hive3
23	1	10	0	Control	B	Hive3
24	1	10	0	Control	B	Hive3
25	1	10	0	Control	B	Hive3
26	1	10	0	Control	B	Hive3
27	1	10	0	Control	B	Hive3
28	1	10	0	Control	B	Hive3
29	1	10	0	Control	B	Hive3
30	1	10	0	Control	B	Hive3
31	1	10	0	Control	B	Hive3
32	1	10	0	Control	B	Hive3
33	1	10	0	Control	B	Hive3
34	1	10	0	Control	B	Hive3
35	1	10	0	Control	B	Hive3
36	1	10	0	Control	B	Hive3
37	1	10	0	Control	B	Hive3
38	1	10	0	Control	B	Hive3
39	1	10	0	Control	B	Hive3
40	1	10	0	Control	B	Hive3
1	1	6	1	Control	C	Hive3
2	1	10	0	Control	C	Hive3
3	1	10	0	Control	C	Hive3
4	1	10	0	Control	C	Hive3
5	1	10	0	Control	C	Hive3
6	1	10	0	Control	C	Hive3
7	1	10	0	Control	C	Hive3
8	1	10	0	Control	C	Hive3
9	1	10	0	Control	C	Hive3
10	1	10	0	Control	C	Hive3
11	1	10	0	Control	C	Hive3
12	1	10	0	Control	C	Hive3
13	1	10	0	Control	C	Hive3
14	1	10	0	Control	C	Hive3
15	1	10	0	Control	C	Hive3
16	1	10	0	Control	C	Hive3
17	1	10	0	Control	C	Hive3
18	1	10	0	Control	C	Hive3
19	1	10	0	Control	C	Hive3
20	1	10	0	Control	C	Hive3
21	1	10	0	Control	C	Hive3
22	1	10	0	Control	C	Hive3
23	1	10	0	Control	C	Hive3
24	1	10	0	Control	C	Hive3
25	1	10	0	Control	C	Hive3
26	1	10	0	Control	C	Hive3
27	1	10	0	Control	C	Hive3
28	1	10	0	Control	C	Hive3
29	1	10	0	Control	C	Hive3
30	1	10	0	Control	C	Hive3
31	1	10	0	Control	C	Hive3
32	1	10	0	Control	C	Hive3
33	1	10	0	Control	C	Hive3
34	1	10	0	Control	C	Hive3
35	1	10	0	Control	C	Hive3
36	1	10	0	Control	C	Hive3
37	1	10	0	Control	C	Hive3
38	1	10	0	Control	C	Hive3
39	1	10	0	Control	C	Hive3
1	1	6	1	Control	A	Hive4
2	1	6	1	Control	A	Hive4
3	1	7	1	Control	A	Hive4
4	1	10	0	Control	A	Hive4
5	1	10	0	Control	A	Hive4
6	1	10	0	Control	A	Hive4
7	1	10	0	Control	A	Hive4
8	1	10	0	Control	A	Hive4
9	1	10	0	Control	A	Hive4
10	1	10	0	Control	A	Hive4
11	1	10	0	Control	A	Hive4
12	1	10	0	Control	A	Hive4
13	1	10	0	Control	A	Hive4
14	1	10	0	Control	A	Hive4
15	1	10	0	Control	A	Hive4
16	1	10	0	Control	A	Hive4
17	1	10	0	Control	A	Hive4
18	1	10	0	Control	A	Hive4
19	1	10	0	Control	A	Hive4
20	1	10	0	Control	A	Hive4
21	1	10	0	Control	A	Hive4
22	1	10	0	Control	A	Hive4
23	1	10	0	Control	A	Hive4
24	1	10	0	Control	A	Hive4
25	1	10	0	Control	A	Hive4
26	1	10	0	Control	A	Hive4
27	1	10	0	Control	A	Hive4
28	1	10	0	Control	A	Hive4
29	1	10	0	Control	A	Hive4
30	1	10	0	Control	A	Hive4
31	1	10	0	Control	A	Hive4
32	1	10	0	Control	A	Hive4
33	1	10	0	Control	A	Hive4
34	1	10	0	Control	A	Hive4
35	1	10	0	Control	A	Hive4
36	1	10	0	Control	A	Hive4
1	1	3	1	Control	B	Hive4
2	1	4	1	Control	B	Hive4
3	1	5	1	Control	B	Hive4
4	1	5	1	Control	B	Hive4
5	1	5	1	Control	B	Hive4
6	1	5	1	Control	B	Hive4
7	1	6	1	Control	B	Hive4
8	1	6	1	Control	B	Hive4
9	1	6	1	Control	B	Hive4
10	1	7	1	Control	B	Hive4
11	1	10	0	Control	B	Hive4
12	1	10	0	Control	B	Hive4
13	1	10	0	Control	B	Hive4
14	1	10	0	Control	B	Hive4
15	1	10	0	Control	B	Hive4
16	1	10	0	Control	B	Hive4
17	1	10	0	Control	B	Hive4
18	1	10	0	Control	B	Hive4
19	1	10	0	Control	B	Hive4
20	1	10	0	Control	B	Hive4
21	1	10	0	Control	B	Hive4
22	1	10	0	Control	B	Hive4
23	1	10	0	Control	B	Hive4
24	1	10	0	Control	B	Hive4
25	1	10	0	Control	B	Hive4
26	1	10	0	Control	B	Hive4
27	1	10	0	Control	B	Hive4
28	1	10	0	Control	B	Hive4
29	1	10	0	Control	B	Hive4
30	1	10	0	Control	B	Hive4
31	1	10	0	Control	B	Hive4
32	1	10	0	Control	B	Hive4
33	1	10	0	Control	B	Hive4
34	1	10	0	Control	B	Hive4
35	1	10	0	Control	B	Hive4
36	1	10	0	Control	B	Hive4
37	1	10	0	Control	B	Hive4
38	1	10	0	Control	B	Hive4
39	1	10	0	Control	B	Hive4
1	1	3	1	Control	C	Hive4
2	1	3	1	Control	C	Hive4
3	1	4	1	Control	C	Hive4
4	1	4	1	Control	C	Hive4
5	1	4	1	Control	C	Hive4
6	1	4	1	Control	C	Hive4
7	1	10	0	Control	C	Hive4
8	1	10	0	Control	C	Hive4
9	1	10	0	Control	C	Hive4
10	1	10	0	Control	C	Hive4
11	1	10	0	Control	C	Hive4
12	1	10	0	Control	C	Hive4
13	1	10	0	Control	C	Hive4
14	1	10	0	Control	C	Hive4
15	1	10	0	Control	C	Hive4
16	1	10	0	Control	C	Hive4
17	1	10	0	Control	C	Hive4
18	1	10	0	Control	C	Hive4
19	1	10	0	Control	C	Hive4
20	1	10	0	Control	C	Hive4
21	1	10	0	Control	C	Hive4
22	1	10	0	Control	C	Hive4
23	1	10	0	Control	C	Hive4
24	1	10	0	Control	C	Hive4
25	1	10	0	Control	C	Hive4
26	1	10	0	Control	C	Hive4
27	1	10	0	Control	C	Hive4
28	1	10	0	Control	C	Hive4
29	1	10	0	Control	C	Hive4
30	1	10	0	Control	C	Hive4
31	1	10	0	Control	C	Hive4
32	1	10	0	Control	C	Hive4
33	1	10	0	Control	C	Hive4
34	1	10	0	Control	C	Hive4
35	1	10	0	Control	C	Hive4
36	1	10	0	Control	C	Hive4
37	1	10	0	Control	C	Hive4
38	1	10	0	Control	C	Hive4
39	1	10	0	Control	C	Hive4
1	1	1	1	Control	A	Hive5
2	1	4	1	Control	A	Hive5
3	1	5	1	Control	A	Hive5
4	1	5	1	Control	A	Hive5
5	1	5	1	Control	A	Hive5
6	1	5	1	Control	A	Hive5
7	1	6	1	Control	A	Hive5
8	1	6	1	Control	A	Hive5
9	1	6	1	Control	A	Hive5
10	1	6	1	Control	A	Hive5
11	1	6	1	Control	A	Hive5
12	1	8	1	Control	A	Hive5
13	1	10	1	Control	A	Hive5
14	1	10	0	Control	A	Hive5
15	1	10	0	Control	A	Hive5
16	1	10	0	Control	A	Hive5
17	1	10	0	Control	A	Hive5
18	1	10	0	Control	A	Hive5
19	1	10	0	Control	A	Hive5
20	1	10	0	Control	A	Hive5
21	1	10	0	Control	A	Hive5
22	1	10	0	Control	A	Hive5
23	1	10	0	Control	A	Hive5
24	1	10	0	Control	A	Hive5
25	1	10	0	Control	A	Hive5
26	1	10	0	Control	A	Hive5
27	1	10	0	Control	A	Hive5
28	1	10	0	Control	A	Hive5
29	1	10	0	Control	A	Hive5
30	1	10	0	Control	A	Hive5
31	1	10	0	Control	A	Hive5
32	1	10	0	Control	A	Hive5
33	1	10	0	Control	A	Hive5
34	1	10	0	Control	A	Hive5
35	1	10	0	Control	A	Hive5
36	1	10	0	Control	A	Hive5
37	1	10	0	Control	A	Hive5
38	1	10	0	Control	A	Hive5
39	1	10	0	Control	A	Hive5
40	1	10	0	Control	A	Hive5
1	1	5	1	Control	B	Hive5
2	1	5	1	Control	B	Hive5
3	1	6	1	Control	B	Hive5
4	1	7	1	Control	B	Hive5
5	1	7	1	Control	B	Hive5
6	1	7	1	Control	B	Hive5
7	1	7	1	Control	B	Hive5
8	1	7	1	Control	B	Hive5
9	1	7	1	Control	B	Hive5
10	1	7	1	Control	B	Hive5
11	1	8	1	Control	B	Hive5
12	1	8	1	Control	B	Hive5
13	1	8	1	Control	B	Hive5
14	1	8	1	Control	B	Hive5
15	1	9	1	Control	B	Hive5
16	1	9	1	Control	B	Hive5
17	1	9	1	Control	B	Hive5
18	1	9	1	Control	B	Hive5
19	1	9	1	Control	B	Hive5
20	1	10	1	Control	B	Hive5
21	1	10	1	Control	B	Hive5
22	1	10	0	Control	B	Hive5
23	1	10	0	Control	B	Hive5
24	1	10	0	Control	B	Hive5
25	1	10	0	Control	B	Hive5
26	1	10	0	Control	B	Hive5
27	1	10	0	Control	B	Hive5
28	1	10	0	Control	B	Hive5
29	1	10	0	Control	B	Hive5
30	1	10	0	Control	B	Hive5
31	1	10	0	Control	B	Hive5
32	1	10	0	Control	B	Hive5
33	1	10	0	Control	B	Hive5
34	1	10	0	Control	B	Hive5
35	1	10	0	Control	B	Hive5
36	1	10	0	Control	B	Hive5
37	1	10	0	Control	B	Hive5
38	1	10	0	Control	B	Hive5
39	1	10	0	Control	B	Hive5
40	1	10	0	Control	B	Hive5
1	1	3	1	Control	C	Hive5
2	1	5	1	Control	C	Hive5
3	1	5	1	Control	C	Hive5
4	1	5	1	Control	C	Hive5
5	1	5	1	Control	C	Hive5
6	1	5	1	Control	C	Hive5
7	1	5	1	Control	C	Hive5
8	1	6	1	Control	C	Hive5
9	1	6	1	Control	C	Hive5
10	1	7	1	Control	C	Hive5
11	1	9	1	Control	C	Hive5
12	1	9	1	Control	C	Hive5
13	1	9	1	Control	C	Hive5
14	1	9	1	Control	C	Hive5
15	1	9	1	Control	C	Hive5
16	1	9	1	Control	C	Hive5
17	1	10	1	Control	C	Hive5
18	1	10	1	Control	C	Hive5
19	1	10	1	Control	C	Hive5
20	1	10	0	Control	C	Hive5
21	1	10	0	Control	C	Hive5
22	1	10	0	Control	C	Hive5
23	1	10	0	Control	C	Hive5
24	1	10	0	Control	C	Hive5
25	1	10	0	Control	C	Hive5
26	1	10	0	Control	C	Hive5
27	1	10	0	Control	C	Hive5
28	1	10	0	Control	C	Hive5
29	1	10	0	Control	C	Hive5
30	1	10	0	Control	C	Hive5
31	1	10	0	Control	C	Hive5
32	1	10	0	Control	C	Hive5
33	1	10	0	Control	C	Hive5
34	1	10	0	Control	C	Hive5
35	1	10	0	Control	C	Hive5
36	1	10	0	Control	C	Hive5
37	1	10	0	Control	C	Hive5
38	1	10	0	Control	C	Hive5
39	1	10	0	Control	C	Hive5
1	1	1	1	Serratia	A	Hive1
2	1	3	1	Serratia	A	Hive1
3	1	3	1	Serratia	A	Hive1
4	1	6	1	Serratia	A	Hive1
5	1	10	0	Serratia	A	Hive1
6	1	10	0	Serratia	A	Hive1
7	1	10	0	Serratia	A	Hive1
8	1	10	0	Serratia	A	Hive1
9	1	10	0	Serratia	A	Hive1
10	1	10	0	Serratia	A	Hive1
11	1	10	0	Serratia	A	Hive1
12	1	10	0	Serratia	A	Hive1
13	1	10	0	Serratia	A	Hive1
14	1	10	0	Serratia	A	Hive1
15	1	10	0	Serratia	A	Hive1
16	1	10	0	Serratia	A	Hive1
17	1	10	0	Serratia	A	Hive1
18	1	10	0	Serratia	A	Hive1
19	1	10	0	Serratia	A	Hive1
20	1	10	0	Serratia	A	Hive1
21	1	10	0	Serratia	A	Hive1
22	1	10	0	Serratia	A	Hive1
23	1	10	0	Serratia	A	Hive1
24	1	10	0	Serratia	A	Hive1
25	1	10	0	Serratia	A	Hive1
26	1	10	0	Serratia	A	Hive1
27	1	10	0	Serratia	A	Hive1
28	1	10	0	Serratia	A	Hive1
29	1	10	0	Serratia	A	Hive1
30	1	10	0	Serratia	A	Hive1
31	1	10	0	Serratia	A	Hive1
32	1	10	0	Serratia	A	Hive1
33	1	10	0	Serratia	A	Hive1
34	1	10	0	Serratia	A	Hive1
35	1	10	0	Serratia	A	Hive1
36	1	10	0	Serratia	A	Hive1
37	1	10	0	Serratia	A	Hive1
38	1	10	0	Serratia	A	Hive1
39	1	10	0	Serratia	A	Hive1
1	1	2	1	Serratia	B	Hive1
2	1	2	1	Serratia	B	Hive1
3	1	10	1	Serratia	B	Hive1
4	1	10	0	Serratia	B	Hive1
5	1	10	0	Serratia	B	Hive1
6	1	10	0	Serratia	B	Hive1
7	1	10	0	Serratia	B	Hive1
8	1	10	0	Serratia	B	Hive1
9	1	10	0	Serratia	B	Hive1
10	1	10	0	Serratia	B	Hive1
11	1	10	0	Serratia	B	Hive1
12	1	10	0	Serratia	B	Hive1
13	1	10	0	Serratia	B	Hive1
14	1	10	0	Serratia	B	Hive1
15	1	10	0	Serratia	B	Hive1
16	1	10	0	Serratia	B	Hive1
17	1	10	0	Serratia	B	Hive1
18	1	10	0	Serratia	B	Hive1
19	1	10	0	Serratia	B	Hive1
20	1	10	0	Serratia	B	Hive1
21	1	10	0	Serratia	B	Hive1
22	1	10	0	Serratia	B	Hive1
23	1	10	0	Serratia	B	Hive1
24	1	10	0	Serratia	B	Hive1
25	1	10	0	Serratia	B	Hive1
26	1	10	0	Serratia	B	Hive1
27	1	10	0	Serratia	B	Hive1
28	1	10	0	Serratia	B	Hive1
29	1	10	0	Serratia	B	Hive1
30	1	10	0	Serratia	B	Hive1
31	1	10	0	Serratia	B	Hive1
32	1	10	0	Serratia	B	Hive1
33	1	10	0	Serratia	B	Hive1
34	1	10	0	Serratia	B	Hive1
35	1	10	0	Serratia	B	Hive1
36	1	10	0	Serratia	B	Hive1
37	1	10	0	Serratia	B	Hive1
38	1	10	0	Serratia	B	Hive1
39	1	10	0	Serratia	B	Hive1
40	1	10	0	Serratia	B	Hive1
1	1	2	1	Serratia	C	Hive1
2	1	4	1	Serratia	C	Hive1
3	1	5	1	Serratia	C	Hive1
4	1	6	1	Serratia	C	Hive1
5	1	6	1	Serratia	C	Hive1
6	1	7	1	Serratia	C	Hive1
7	1	8	1	Serratia	C	Hive1
8	1	9	1	Serratia	C	Hive1
9	1	9	1	Serratia	C	Hive1
10	1	9	1	Serratia	C	Hive1
11	1	10	0	Serratia	C	Hive1
12	1	10	0	Serratia	C	Hive1
13	1	10	0	Serratia	C	Hive1
14	1	10	0	Serratia	C	Hive1
15	1	10	0	Serratia	C	Hive1
16	1	10	0	Serratia	C	Hive1
17	1	10	0	Serratia	C	Hive1
18	1	10	0	Serratia	C	Hive1
19	1	10	0	Serratia	C	Hive1
20	1	10	0	Serratia	C	Hive1
21	1	10	0	Serratia	C	Hive1
22	1	10	0	Serratia	C	Hive1
23	1	10	0	Serratia	C	Hive1
24	1	10	0	Serratia	C	Hive1
25	1	10	0	Serratia	C	Hive1
26	1	10	0	Serratia	C	Hive1
27	1	10	0	Serratia	C	Hive1
28	1	10	0	Serratia	C	Hive1
29	1	10	0	Serratia	C	Hive1
30	1	10	0	Serratia	C	Hive1
31	1	10	0	Serratia	C	Hive1
32	1	10	0	Serratia	C	Hive1
33	1	10	0	Serratia	C	Hive1
34	1	10	0	Serratia	C	Hive1
35	1	10	0	Serratia	C	Hive1
36	1	10	0	Serratia	C	Hive1
37	1	10	0	Serratia	C	Hive1
38	1	10	0	Serratia	C	Hive1
39	1	10	0	Serratia	C	Hive1
1	1	1	1	Serratia	A	Hive2
2	1	2	1	Serratia	A	Hive2
3	1	2	1	Serratia	A	Hive2
4	1	4	1	Serratia	A	Hive2
5	1	7	1	Serratia	A	Hive2
6	1	10	0	Serratia	A	Hive2
7	1	10	0	Serratia	A	Hive2
8	1	10	0	Serratia	A	Hive2
9	1	10	0	Serratia	A	Hive2
10	1	10	0	Serratia	A	Hive2
11	1	10	0	Serratia	A	Hive2
12	1	10	0	Serratia	A	Hive2
13	1	10	0	Serratia	A	Hive2
14	1	10	0	Serratia	A	Hive2
15	1	10	0	Serratia	A	Hive2
16	1	10	0	Serratia	A	Hive2
17	1	10	0	Serratia	A	Hive2
18	1	10	0	Serratia	A	Hive2
19	1	10	0	Serratia	A	Hive2
20	1	10	0	Serratia	A	Hive2
21	1	10	0	Serratia	A	Hive2
22	1	10	0	Serratia	A	Hive2
23	1	10	0	Serratia	A	Hive2
24	1	10	0	Serratia	A	Hive2
25	1	10	0	Serratia	A	Hive2
26	1	10	0	Serratia	A	Hive2
27	1	10	0	Serratia	A	Hive2
28	1	10	0	Serratia	A	Hive2
29	1	10	0	Serratia	A	Hive2
30	1	10	0	Serratia	A	Hive2
31	1	10	0	Serratia	A	Hive2
32	1	10	0	Serratia	A	Hive2
33	1	10	0	Serratia	A	Hive2
34	1	10	0	Serratia	A	Hive2
35	1	10	0	Serratia	A	Hive2
36	1	10	0	Serratia	A	Hive2
37	1	10	0	Serratia	A	Hive2
38	1	10	0	Serratia	A	Hive2
39	1	10	0	Serratia	A	Hive2
1	1	5	1	Serratia	B	Hive2
2	1	7	1	Serratia	B	Hive2
3	1	10	0	Serratia	B	Hive2
4	1	10	0	Serratia	B	Hive2
5	1	10	0	Serratia	B	Hive2
6	1	10	0	Serratia	B	Hive2
7	1	10	0	Serratia	B	Hive2
8	1	10	0	Serratia	B	Hive2
9	1	10	0	Serratia	B	Hive2
10	1	10	0	Serratia	B	Hive2
11	1	10	0	Serratia	B	Hive2
12	1	10	0	Serratia	B	Hive2
13	1	10	0	Serratia	B	Hive2
14	1	10	0	Serratia	B	Hive2
